ชื่อหนังสือ(name),ชื่อผู้แต่ง(author),ประเภท(type),ISBN ,ราคา(price),สำนักพิมพ์(publisher),จำนวนหน้า(page),แหล่งข้อมูลที่หามา(refer)
The Last Musketeer,Stuart Gibbs,"Children's Books ,Action , Adventure",9780062048394,$6.99,HarperCollins,272,http://www.amazon.com
Of Fire and Stars,Audrey Coulthurst,Science Fiction Fantasy,9780062433251,$17.99,Balzer + Bray,400,http://www.amazon.com
The Red Pyramid,Rick Riordan,Science Fiction Fantasy,9781423113454,$9.99,Disney-Hyperion,544,http://www.amazon.com
King of Ithaka,Tracy Barrett,Science Fiction Fantasy,9780312551483,$11.99,Square Fish,272,http://www.amazon.com
The Beast of Blackslope (Sherlock Files),Tracy Barrett,"Children's Books , Mysteries ,Detectives",9780312659189, $7.99,Square Fish,192,http://www.amazon.com
The 100-Year-Old Secret (Sherlock Files),Tracy Barrett,"Children's Books, Mysteries, Detectives",9780312602123,$6.07,Square Fish,176,http://www.amazon.com
The Missing Heir (Sherlock Files),Tracy Barrett,"Children's Books, Mysteries, Detectives",9781250004802, $8.99,Square Fish,192,http://www.amazon.com
The Looking Glass Wars,Frank Beddor,Science Fiction Fantasy,9780142409411,$9.99,Speak,400,http://www.amazon.com
Nobody's Princess (Princesses of Myth),Esther Friesner,Science Fiction Fantasy,9780375875298, $8.99,Random House Books for Young Readers,336,http://www.amazon.com
The Egypt Game,Zilpha Keatley Snyder,"Children's Books, Mysteries, Detectives",9781416990512,$7.99,Atheneum Books for Young Readers,240,http://www.amazon.com
Chinese Cinderella,Adeline Yen Mah,"Children's Books , Facts of Life",9780385740074,$9.99,Ember,240,http://www.amazon.com
The Thousandth Floor,Katharine McGee," Fiction,Mystery, Thriller Suspense",9780062418593,$18.99,HarperCollins,448,http://www.amazon.com
Space Case (Moon Base Alpha),Stuart Gibbs,"Children's Books , Facts of Life",9781442494879,$7.99,Simon and Schuster Book,368,http://www.amazon.com
Stealing Snow,Danielle Paige,Science Fiction Fantasy,9781681190761,$18.99,Bloomsbury USA Childrens,384,http://www.amazon.com
A Crown of Wishes,Roshani Chokshi,Science Fiction Fantasy,9781250085498,$18.99,St. Martin's Griffin,352,http://www.amazon.com
Frost Like Night (Snow Like Ashes),Sara Raasch,Science Fiction Fantasy,9780062286987,$17.99,Balzer + Bray,496,http://www.amazon.com
Where Is the Amazon (Where Is...?),Sarah Fabiny,"Children's Books , Facts of Life",9780448488264,$5.99,Grosset Dunlap,112,http://www.amazon.com
Panda-monium (FunJungle),Stuart Gibbs,"Children's Books,Action ,Adventure",9781481445672,$16.99,Simon and Schuster Book,352,http://www.amazon.com
Six of Crows,Leigh Bardugo,"Children's Books,Action ,Adventure",9781627792127,$18.99,Henry Holt and Co. (BYR),480,http://www.amazon.com
Crown of Midnight (Throne of Glass 2),Sarah J. Maas,Science Fiction Fantasy,9781619630642,$10.99,Bloomsbury USA Childrens,448,http://www.amazon.com
Throne of Glass,Sarah J. Maas,Science Fiction Fantasy,9781619630345,$10.99,Bloomsbury USA Childrens,432,http://www.amazon.com
